expte_code,fecha,gestion,se_giro_a,dependencia_actual
1507,2025-03-27,"Con RESO 324/2025 .Presta conformidad a la continuidad- idéntico proveedor Ascensores La Plata S.R.L., 1 mes $16.892.460",Subdirección de Contrataciones,"SUBDIR. DE COMPRAS- OBR. PUBL, DAJuDeCyCO y EXPTES VS"
1507,,"Presta conformidad a la continuidad- idéntico proveedor Ascensores La Plata S.R.L., 1 mes",Subdirección de Contrataciones,En esta Dirección
1525,1970-01-01,Con reso 325/2025 Se presta conformidad a la solicitud de partida especial por la suma de $ 2.800.000,,SUBDIR. DE ADMIN. - DEPTO. DE LIQUIDACIONES
1525,,ver,,En esta Dirección
1604,2025-04-28,"Reso 601/2025: “NACION SEGUROS S.A.” los seguros generales para distintos edificios dependientes de la Corte Suprema de Justicia de la Nación por el término de doce (12) meses, al vto OC n° 100/24, 101/24, 102/24, 103/24 y 104/24, y hasta el 1/5/2026, por ($ 39.048.345,92.-)",En esta Dirección,SUBDIRECCIÓN DE CONTRATACIONES CSJN
1604,2025-04-14,"Pendiente prestar conformidad - Modificaciones en la cotización -pedido de formulario ÍTEM C - RESPONSABILIDAD CIVIL ASCENSORES Y MONTACARGAS - se solicito se remita firmado y copia del poder del gerente Martin Perla, (firmante de los formularios anteriores).",En esta Dirección,En esta Dirección
1604,2025-03-26,"punto 1.3 del anexo II, acordada 15/2024 , art 33 inc a ) monto : $43.615.240,15 -Nación 1 año 1/5/2025- VINCULADO AL 5077/2024",Dirección de la Administración,En esta Dirección
1526,2025-03-28,"Con reso 342/2025 .Se presta conformidad a la partida especial por la suma de $ 729.469,07",Dirección de Administración,Dirección de Gestión
1526,2025-03-26,"Se presta conformidad a la partida especial por la suma de $ 729.469,07",Dirección de Administración,Dirección de Gestión
2372,2025-05-23,"Tiene Reso 959/2025 Muestras:“INSTITUTO NACIONAL DE TECNOLOGÍA INDUSTRIAL CENTROS DE INVESTIGACIÓN”, por la suma total $3.900.480",Dirección de Administración,Dirección de despacho
2372,2025-05-07,Salió con nota de elevación a la Dirección de Administración,Dirección de Administración,Mesa de Entradas Administrativa
2372,2025-04-01,Finalizó el análisis P.E.T - (contratación directa) pendiente pedido de presupuestos,Correo electrónico,Correo electrónico Delfina
2372,2025-03-31,Análisis P.E.T,Correo electrónico,Correo electrónico Delfina
1770,,"Solicitud de inicio - vuelve el expte. requieren se indique donde surge la exigibilidad del ""título"":",En esta Dirección,En esta Dirección
1770,2025-04-01,Se autoriza el uso del cuño medalla para la Dra. Soraya Hidalgo,En esta Dirección,En esta Dirección
962,2025-04-14,Lo devolvieron a esta Dirección sin actuaciones -,En esta Dirección,En esta Dirección
962,2025-04-07,Se informa situación nueva. Piden próroga por 2 meses.,Dirección de la Administración,Dirección de la Administración
2005,2025-04-10,Caratulado- (en Sub. de Seguridad),Dirección de Despacho,SUBDIRECCIÓN DE SEGURIDAD
2005,,Solicitud a caratular,Dirección de Despacho,En esta Dirección
1217,2025-04-09,"Se solicitó la continuidad del servicio con idéntico prestador por el término de 3 meses , desde Compras van a solicitar una nueva cotización",Subdirección de Contrataciones CSJN,Subdirección de Contrataciones CSJN
1645,2025-04-24,Con Reso 561/2025. “ROYAL DOOR S.R.L.” los renglones 2 y 4 por la suma total de pesos un millón ciento dieciocho mil cuatrocientos cuarenta ($ 1.118.440.-),Dirección de la Administración,Sbdirección de Contrataciones CSJN
1645,2025-04-10,Toma conocimiento y presta conformidad a la continuidad del trámite ($2.039.240),Dirección de la Administración,Sbdirección de Contrataciones CSJN
1645,2025-04-09,Toma conocimiento y presta conformidad a la continuidad del trámite ($2.039.240),Dirección de la Administración,En esta Dirección
2944,2025-04-10,Se solicita la desafectación presupuestaria y se informa el traspaso a seguridad por expediente n° 2005/25,Dirección de la Administración,En esta Dirección
2019,2025-04-21,Salió resolución 522/25,-,-
2019,2025-04-14,Presta conformidad a la continuidad del trámite - (Presupuesto el Instituto Argentino de Normalización y Certificación IRAM :$2.280.000),Dirección de la Administración,En esta Dirección
1237,2025-04-28,"Reso 595/2025 $7.800.000 ACLIMA ( 4 MESES :1/5/2025 al 31/8/2025) “ESCOFE, VICTOR DANIEL”-",Subdireccion de contrataciones CSJN,Subdirección de Contrataciones CSJN
1237,2025-04-16,Presta conformidad a la continuidad por 4 meses $7.800.000 ACLIMA (1/5/2025 al 31/8/2025),Subdireccion de contrataciones CSJN,Subdirección de Contrataciones CSJN
1237,2025-04-15,Pendiente prestar conformidad a la continuidad por 4 meses $7.800.000 (1/5/2025 al 31/8/2025),En esta Dirección,En esta Dirección
2150,2025-05-12,Con resolución 682/2025 - 1 mes. (GRUPO BIO EFIA SRL) $ 1.353790-,Contrataciones,Subdirección de Compras
2150,1970-01-01,Se presta conformidad a la prróroga en los mismos términos y condiciones técnicas y económicas 1 mes. (GRUPO BIO EFIA SRL) $ 1.353790,Contrataciones,Subdirección de Compras
2150,1970-01-01,Se presta conformidad a la prróroga en los mismos términos y condiciones técnicas y económicas 1 mes. (GRUPO BIO EFIA SRL),Contrataciones,En esta Dirección
2150,,Solicitud para caratular pedido de prórroga un (1) mes al correo de Ariel Castillo- conversado,Correo electrónico a Ariel Castillo,Correo electrónico a Ariel Castillo
7040,2025-04-30,Resolución 607/2025,-,-
7040,2025-04-30,Resolución 607/2025,-,-
7040,2025-04-16,Se pidió a F.U(Infra) se remita correo al proveedor a la casilla oficial rickmetal72@gmail.com,En esta Dirección,En esta Dirección
5952,2025-04-25,Expediente Administrativo Archivado en última oficina -Mesa Administrativa CSJN-,Subdirección de Compras CSJN,Subdirección de Compras
5952,2025-04-25,Se anula actuación anterior por error en la carga de archivos. Se propone P.O referencial preliminar de $6.185.462.400. Monto que surge del promedio de las OC 241 y 242/2023.,Subdirección de Compras CSJN,Subdirección de Compras
5952,2025-04-16,"Se acompañó proyecto de PET de limpieza , con P.O mensual de $208.450.000 surge del costo estimado por operario $3.790.000 por 55 operarios (no eran 55 sino 59, cuadro incompleto)",Subdirección de Compras CSJN,Subdirección de Compras
3218,2025-08-14,"Con RESO 1798/2025 PROVESER S.R.L. $52.355.123,99.",SUBDIRECCIÓN DE CONTRATACIONES,dirección de DESPACHO
3218,2025-08-13,Actualmente en Jurídicos.,SUBDIRECCIÓN DE CONTRATACIONES,Asuntos Jurídicos
3218,2025-08-07,"Toma conocimiento y presta conformidad a lo actuado (firma PROVESER S.R.L. por un monto total de $ 52.355.123,99)",SUBDIRECCIÓN DE CONTRATACIONES,SUBDIRECCIÓN DE CONTRATACIONES
3218,2025-07-25,"Se elevó con documental administrativa. PROVESER S.R.L.: por la suma de pesos cincuenta y dos millones trescientos cincuenta y cinco mil ciento veinticuatro ($52.355.124), IVA incluido",SUBDIRECCIÓN DE CONTRATACIONES,SUBDIRECCIÓN DE CONTRATACIONES
3218,2025-06-09,Revisión de P.E.T - Tiene carátula,Correo electrónico Delfina Infra,Correo electrónico Delfina Infra
3218,2025-04-21,Revisión de P.E.T,Correo electrónico Delfina Infra,Correo electrónico Delfina Infra
1238,2025-04-28,Con resolución 598/2025 -1 MES ! ACLIMA de ESCOFE VICTOR DANIEL”en los mismos términos y condiciones técnicas y económicas oportunamente pactados en la misma- por la suma total de pesos un millón doscientos mil ($ 1.200.000.-),Dirección de Administración,Dirección de Gestión Interna e Infraestructura
1238,2025-04-23,Se presta coformidad a la prórroga por un mes,Dirección de Administración,Dirección de Gestión Interna e Infraestructura
2958,2025-04-24,control PET,Correo electrónico F.U,Correo electrónico F.U
1940,2025-04-25,nota de elevación,Dirección de Administración,Mesa de Entradas DGIeI
2328,2025-05-14,Resolución 736/2025. Contratación Directa por $3.285.000 firma ASC TELESI SRL,Subdirección de Compras,Mesa de Entradas General
2328,2025-05-06,Presta conformidad $3.285.000 Jun/jul/agosto 2025 ASC TELESI SRL - mismos términos técnicos y económicos (vto. 31/5/202),Subdirección de Compras,Subdirección de Compras
2328,2025-05-05,Presta conformidad $3.285.000 Jun/jul/agosto 2025 ASC TELESI SRL - mismos términos técnicos y económicos (vto. 31/5/202),En esta Dirección,En esta Dirección
2328,,Pendiente ver,En esta Dirección,En esta Dirección
2339,2025-11-14,Se rubricó el PET,SUBDIRECCIÓN DE CONTRATACIONES,Compras
2339,2025-11-12,Pendiente ver,SUBDIRECCIÓN DE CONTRATACIONES,En esta DIRECCIÓN
2339,2025-10-29,Se respondieron Ptos /Jurídicos/ Compras,SUBDIRECCIÓN DE CONTRATACIONES,Subdirección de Contrataciones
2339,2025-08-27,Se rubricó el PET,SUBDIRECCIÓN DE CONTRATACIONES,Subdirección de Contrataciones
2339,2025-08-18,"Se respondió consulta por correo sobre: 1) Efectivamente el indicador que se solicita debe ser mayor o igual a 10. Por lo tanto, corresponde modificar el punto 3.D.3 en ese sentido. 2) En relación al Item X, deberá modificarse la cantidad de 51 por 66 oficinas, en concordancia con lo detallado en el Anexo V. Por último, se estima en aproximadamente 2.100 m2, la superficie correspondiente a la totalidad de las oficinas previamente indicadas.",SUBDIRECCIÓN DE CONTRATACIONES,EN ESTA DIRECCIÓN
2339,2025-08-13,Se eleva con respuesta de las observaciones al P.E.T y se envía P.Torres al correo el PET modificado.,SUBDIRECCIÓN DE CONTRATACIONES,EN ESTA DIRECCIÓN
2339,2025-08-04,Pendiente responder observaciones al P.E.T,En esta Dirección,EN ESTA DIRECCIÓN
2339,2025-06-19,"Se acompañó PET, pedidos de presupuestos referenciales, y se propuso presupuesto oficial referencial para los primeros 12 meses (1 a 12) y los segundos doce meses (13 a 24) P.O total: $6.241.988.000.",Subdirección de Contrataciones CSJN,SUBDIRECCIÓN DE CONTRATACIONES CSJN
2339,,Pendiente ver,En esta Dirección,En esta Dirección
2427,2025-05-20,Resolución 838/25 Adjudica a Aclima de Scofe Víctor por la suma de $ 4.800.000,-,Mesa de Entradas General.
2427,2025-05-12,Se toma conocimiento de que la empresa cuenta con multa en el consejo de la magistratira y se presta conformidad a la continuidad de la adjudicataria,Dirección de Administración,Dirección de Administración
2427,2025-05-07,"Se solicita continuidad por 4 meses con mismo prestador ""Aclima""",Mesa de entradas administrativa,En esta Dirección
2427,,Pendiente ver,En esta Dirección,En esta Dirección
2329,2025-05-13,RESO 684/2025 continuidad por3 meses con Teknik por el monto de $ 1.510.000 mensual (de junio a agosto),Dirección de Administración,En esta Dirección
2329,2025-05-05,se prestó conformidad a la continuidad por 3 meses con Teknik por el monto de $ 1.510.000 mensual (de junio a agosto),Dirección de Administración,En esta Dirección
2314,2025-05-13,RESO 704/2025 Prórroga 2 meses -oc 165/2023 jun/jul ($198.198 ($99.099 por mes) ALTRON SRL,SUBDIRECCION DE COMPRAS DE LA CSJN,SUBDIRECCION DE COMPRAS DE LA CSJN
2314,2025-05-06,Se presta conformidad a la Prórroga 2 meses -oc 165/2023 jun/jul ($198.198 ($99.099 por mes) ALTRON SRL,En esta Dirección,En esta Dirección
4804,2025-05-06,VER ES PAPEL - Modificar el PET a la normativa actual de Aco 38/2023.,En esta Dirección,En esta Dirección
2313,2025-05-14,"RESO 705/2025 .“FERNANDEZ Y RIMBAU MARIA EUGENIA 1 MES A LA FIRMA $7.149.715""",Dirección de Administración,SUBDIRECCION DE COMPRAS DE LA CSJN
2313,,Presta conformidad a la continuidad,Dirección de Administración,Juridico Administrativo
2164,2025-05-08,Aún no giró por esta dependencia (Laredo SRL 148.000.0000 -MENSUAL y total $296.000.000),No está en esta Dirección,No está en esta Dirección
2164,2025-05-08,Aún no giró por esta dependencia,No está en esta Dirección,No está en esta Dirección
3580,2025-05-15,"Dirigido al Administrador, sugiere rescindir el Convenio(vencido) con fecha 1/12 - Evaluando S.R y GA",En esta Dirección,En esta Dirección
3580,2025-05-08,VER VIERNES 9/5,En esta Dirección,En esta Dirección
3219,2025-06-09,revisión P.E.T - Tiene carátula,Correo electrónico Arq Delfina,Correo electrónico Arq Delfina
3219,2025-05-13,revisión P.E.T,Correo electrónico Arq Delfina,Correo electrónico Arq Delfina
5818,2025-05-15,Escrito Rubrica PET (Ing.eléctrico Natalio Villalba) Presta conformidad a cambios en las cláusulas,Subdirección de Contrataciones,Subdireccion de Contrataciones CSJN
5818,1970-01-01,Escrito Rubrica PET (Ing.eléctrico Natalio Villalba),Subdirección de Contrataciones,En esta Dirección
2164,2025-05-27,"RESO 1048/2025 1 mes de prroroga del servicio HASTA 30/6 LAREDO $148.000.000 ""LAREDO Y ASOCIADOS S.R.L""",Subdirección de Compras,SUDIRECCIÓN DE COMPRAS
2164,2025-05-19,Se prestó conformidad a la continuidad del trámite 1 mes de prroroga del servicio LAREDO $148.000.000,Subdirección de Compras,SUDIRECCIÓN DE COMPRAS
2164,2025-05-15,en revisión,En esta dirección,En esta Dirección
2259,2025-05-22,Con resolución n°934/2025 $3.696.550 insumos para UPS DAJUDECO,Subdirección de Contrataciones,Subdirección de Contrataciones CSJN
2259,2025-05-16,Toma conocimiento y presta conformidad. $3.696.550 insumos para UPS Dajudeco,Subdirección de Contrataciones,En esta Dirección
2259,2025-05-15,en revisión,En esta dirección,En esta Dirección
2494,,en revisión,En esta dirección,En esta Dirección
2724,2025-05-16,en revisión,Subdirección de Infraestructura,Subdirección de Infraestructura
2772,2025-06-02,Con RESO 1101/2025.,Dirección de la Administración.,Dirección de la Administración.
2772,2025-05-19,Se presta conformidad a la continuidad del trámite.,Dirección de la Administración.,Dpto. Jurírido Administrativo
2772,2025-05-19,en revisión,-,Dpto. Jurírido Administrativo
2781,2025-06-25,Resolución 1346/2025 (3 meses JULIO/AGOSTO/SEPTIEMBRE) $1.353.790 mensual (total: $4.061.370) “GRUPO EFIA S.R.L.”,Subdirección de Contrataciones CSJN,SUBDIRECCIÓN DE CONTRATACIONES CSJN
2781,2025-06-18,Presta conformidad (JULIO/AGOSTO/SEPTIEMBRE) $1.353.790 mensual (total: $4.061.370),Subdirección de Contrataciones CSJN,SUBDIRECCIÓN DE CONTRATACIONES CSJN
2781,,Pendiente ver si solicitamos la continuidad o sale la renovación por Contratación DIRECTA,En esta Dirección,Dpto. Jurírido Administrativo
2781,,Pendiente ver si solicitamos la continuidad o sale la renovación por Contratación DIRECTA,En esta Dirección,Dpto. Jurírido Administrativo
2862,2025-05-22,Se autoriza la utilización del cuño,Archivo interno,Dpto. Jurírido Administrativo
5289,2025-09-01,En esta Dirección - Cuerpos 6 - 1/9/2025 (pendiente ver),En esta Dirección,En esta Dirección
5289,2025-07-08,pendiente ver,En esta Dirección,En esta Dirección
5289,2025-07-07,Se devolvió el expediente a la Dajudeco a los fines de que rubrique el PET.,Dirección de Administración,En esta Dirección
5289,2025-06-12,En esta Dirección,Dirección de Administración,En esta Dirección
5289,1970-01-01,Se toma conocimiento del nuevo PET. por readecuación de sanitario DAJUDECO,Dirección de Administración,Mesa Administrativa
5289,,En revisión,En esta Dirección,Dpto. Jurírido Administrativo
2756,2025-05-29,"Ver: ""Se inicia la presente con el fin de solicitar la baja de un Cromatógrafo de Gases marca DANI INSTRUMENTS """,En esta Dirección,En esta Dirección
3220,2025-08-12,Con RESOLUCIÓN 1736/2025 “JM SERVICIOS LOGISTICOS S.R.L. $ 43.228.000.,Subdirección de compras,DIRECCIÓN DE ADMINISTRACIÓN
3220,2025-08-06,Se toma conocimiento y presta conformidad a lo actuado.,Subdirección de compras,DIRECCIÓN DE ADMINISTRACIÓN
3220,2025-07-25,"Se elevó con documental administrativa: JM SERVICIOS LOGÍSTICOS S.R.L.: por la suma de pesos cuarenta y tres millones doscientos veintiocho mil ($43.228.000), IVA incluido",Subdirección de compras,DIRECCIÓN DE ADMINISTRACIÓN
3220,2025-07-25,P.ET Revisado-,Por correo (Delfi y Fede),Por correo (Delfi y Fede)
3220,2025-06-06,Revisión P.E.T - Tiene carátula,Por correo (Delfi y Fede),Por correo (Delfi y Fede)
3220,2025-06-04,Revisión P.E.T,Por correo (Delfi y Fede),Por correo (Delfi y Fede)
2423,2025-06-19,Tiene resolución 1261/2025 transferencia de la Intendencia del edificio Marcelo T. de Alvear n° 1840 del Consejo a la Cámara Comercial.,Secretaria Juridica CSJN,Mesa Administrativa CSJN
2423,1970-01-01,"Toma conocimiento , presta conformidad a la continuidad del trámite (solicitud de transferencia de la Intendencia del edificio Marcelo T. de Alvear n° 1840 del Consejo a la Cámara Comercial.",Secretaria Juridica CSJN,En esta Dirección
2423,1970-01-01,Toma conocimiento,Secretaria Juridica CSJN,En esta Dirección
3221,2025-08-11,"Con RESOLUCIÓN 1727/2025 “PROVESER S.R.L.”, por la suma total de pesos $39.320.048,00.-",SUBDIRECCIÓN DE CONTRATACIONES,DIRECCIÓN DE ADMINISTRACIÓN
3221,2025-08-06,Toma conocimiento y presta conformidad a lo actuado.,SUBDIRECCIÓN DE CONTRATACIONES,DIRECCIÓN DE ADMINISTRACIÓN
3221,2025-07-25,"Se elevó con documental administrativa: PROVESER S.R.L.: por la suma de pesos treinta y nueve millones trescientos veinte mil cuarenta y ocho ($39.320.048), IVA incluido",SUBDIRECCIÓN DE CONTRATACIONES,SUBDIRECCIÓN DE CONTRATACIONES
3221,2025-06-09,Revisión P.E.T - Tiene carátula,Por correo (Delfi y Fede),Por correo (Delfi y Fede)
3221,,Revisión P.E.T,Por correo (Delfi y Fede),Por correo (Delfi y Fede)
3003,,Toma conocimiento. Presta conformidad (130k partida especial),Dirección de Administración,Subdirección de Infraestructura
2984,2025-06-25,"Tiene resolución 1348/2025 (2 meses) $130.400 mensual item 1.B.1 item 2.B1$130.400 (TOTAL:521.600)“BRUQUETAS, SEBASTIAN JAVIER”",Subdirección de Contrataciones,SUBDIRECCIÓN DE CONTRATACIONES CSJN
2984,2025-06-10,"Toma conocimiento, presta conformidad a la continuidad del trámite $130.400 mensual (TOTAL:521.600)",Subdirección de Contrataciones,SUBDIRECCIÓN DE CONTRATACIONES CSJN
2984,,Ver,En esta Dirección,En esta Dirección
5694,2025-07-08,"Se remitió nota haciendo saber la situación actual de inasistencias injustificadas junto con la última retención de haberes, y la sugerencia de aplicar las sanciones correspondientes según la gravedad de los hechos - (Pendiente FOLIAR ÚLTIMA ACTUACIÓN DE RETENCIÓN DE HABERES)",RECURSOS HUMANOS,En esta Dirección
5694,,En proceso,En esta Dirección,En esta Dirección
5694,,En proceso,En esta Dirección,En esta Dirección
3222,2025-06-10,En proceso revisón P.E.T- Tiene carátula,En esta Dirección,En esta Dirección
3222,2025-06-10,En proceso revisón P.E.T,En esta Dirección,En esta Dirección
43272025,2025-08-12,"Resolución 1737/2025: ""IGNACIO MARIO PETRESKY” Kol-or Iluminación: $20.710.242",Subdirección de Contrataciones,Dirección de Administración
43272025,2025-08-06,Toma conocimiento y presta conformidad: Kol-or Iluminación: $20.710.242,Subdirección de Contrataciones,Subdirección de Contrataciones
43272025,2025-07-25,Se elevó con documental administrativa Kol-or Iluminación: por la suma de pesos veinte millones trescientos cincuenta y nueve mil doscientos cuarenta y dos ($20.359.242).,Correo electrónico Delfina Infra,Subdirección de Contrataciones
43272025,2025-06-24,Compartimos PET con Delfina,Correo electrónico Delfina Infra,Correo electrónico Delfina Infra
43272025,2025-06-12,P.E.T en revisión,Correo electrónico Delfina Infra,Correo electrónico Delfina Infra
43272025,2025-06-12,P.E.T en revisión,Correo electrónico Delfina Infra,Correo electrónico Delfina Infra
2297,2025-06-25,Se va a solicitar el Archivo del expediente- y reinciar con nuevas Especificaciones técnicas,En Infraestructura,Infraestructura
2297,2025-06-24,Expediente completo con Nota de elevación RIaño $68.250.000,Subdirección de Contrataciones CSJN,Infraestructura
2297,2025-06-17,Se solicitó completen los antecedentes ( plazo de 3 días corridos ),-,Infraestructura
2297,2025-06-13,P.E.T en revisión,-,Infraestructura
2716,,"Se presta conformidad a la propuesta de Integral (idem cotización 2.000.000 mensual) y Camaaño nueva cotización 3.560.000, por el termino de 3 meses.-",Subdirección de Contrataciones CSJN,En esta Dirección
3334,2025-07-01,"Tiene Reso. 1411/2025 Ampliación 20% o.c 14/2025 “SISTEMAS DE CARGA S.A.” $33.262.800,00.",Subdirección de Contrataciones CSJN,Subdirección de Infraestructura
3334,2025-06-17,Ampliación 20% o.c 14/2025,Subdirección de Contrataciones CSJN,Subdirección de Infraestructura
2966,2025-07-07,Con RESO 1444/2025 adquisión de Elementos Personales de Seguridad DAJUDECO ($7.446.298),Subdirección de Contrataciones CSJN,SUBDIRECCIÓN DE CONTRATACIONES CSJN
2966,2025-06-26,Se presta conformidad a la continuidad del trámite adquisión de Elementos Personales de Seguridad DAJUDECO ($7.446.298),Subdirección de Contrataciones CSJN,SUBDIRECCIÓN DE CONTRATACIONES CSJN
2966,2025-06-24,En revisión,En esta Dirección,En esta Dirección
3517,,Se elevó la solicitud con copia de título habilitante,Dirección de la Administración,Asuntos Jurídicos
2965,2025-07-10,"Toma conocimiento de la documental agregada y la manifestación de ""trabajos menores"". Presta conformidad a la continuidad.",Dirección de Administración,Subdirección de Infraestructura CSJN
2965,2025-07-08,"Toma conocimiento de la documental agregada y la manifestación de ""trabajos menores"".",En esta Dirección,En esta Dirección
2965,2025-06-24,"Se realizaron formulaciones , a fin de que se complete la documental administrativa.",Subdirección de Contrataciones,Subdirección de Contrataciones CSJN
2965,,en revisión,En esta Dirección,En esta Dirección
1538,2025-06-25,Se va a tramitar vía electrónica- PET compartido con F.Ugarte para revisión,Correo electrónico con Flor Ugarte,Correo electrónico con Flor Ugarte
3468,,Se respondió el oficio del 17/06/2025,Dirección de administración,Dirección de Administración
3609,2025-08-13,RESOLUCIÓN 1753/2025 . Por el término de 4 MESES al Vto. OC 51/2025. DOMIN SERVICIOS GENERALES S.R.L. Valor mensual $ 1.365.625 y total de $5.462.500).,No está en esta Dirección,Dirección de Administración
3609,2025-07-10,"Solicita continuidad 4 MESES al Vto. OC 51/2025. Justificación: Nuevo PET el cual incluirá, el servicio de limpieza de los locales ubicados en calle Viamonte N° 1197, actualmente en trámite por expediente 6855/2023.",En esta Dirección,En esta Dirección
3609,2025-06-25,Ver justificación,En esta Dirección,En esta Dirección
3610,2025-08-11,"RESO 1729 Y 1752 /2025 PLM Group SRL: calle Viamonte N° 1197, por el término de 4 meses AL Vto OC n° 52/2025 , VALOR $ 5.528.020 mensual.",SUBDIRECCIÓN DE CONTRATACIONES,SUBDIRECCIÓN DE CONTRATACIONES
3610,2025-08-04,"Se presta conformidad : PLM Group SRL: servicio de limpieza del edificio sito en calle Viamonte N° 1197, por el término de 4 meses AL Vto OC n° 52/2025 , VALOR $ 5.528.020 mensual.",SUBDIRECCIÓN DE CONTRATACIONES,SUBDIRECCIÓN DE CONTRATACIONES
3610,2025-06-27,Ver justificación,En esta Dirección,En esta Dirección
3611,2025-08-11,Se prestó conformidad a la continuidad del servicio $ 17.945.000 MENSUAL /DISTRIBONS / 4 meses hasta 31/12,Subdirección de Contrataciones CSJN,SUBDIRECCIÓN DE COMPRAS
3611,2025-08-11,Se prestó conformidad a la continuidad del servicio $ 17.945.000 MENSUAL /DISTRIBONS / 4 meses hasta 31/12,Subdirección de Contrataciones CSJN,SUBDIRECCIÓN DE COMPRAS
3611,2025-06-27,Ver justificación,En esta Dirección,En esta Dirección
3612,2025-08-21,RESOLUCION DA Nº 1848/2025 - $ 19.356.000 MENSUAL /DISTRIBONS / 4 meses hasta 31/12 TOTAL: 77.424.000.,Mesa de entradas,SUBDIRECCIÓN DE CONTRATACIONES
3612,2025-08-11,Se prestó conformidad a la continuidad del servicio $ 19.356.000 MENSUAL /DISTRIBONS / 4 meses hasta 31/12,Mesa de entradas,SUBDIRECCIÓN DE CONTRATACIONES
3612,,se solicito continuidad hasta 31 de diciembre o inicio efectivo del servicio,Mesa de entradas,Mesa de entradas
3612,2025-06-27,Ver justificación,En esta Dirección,En esta Dirección
3020,2025-07-14,"RESO 1514/2025 Se presta conformidad a la continuidad del trámite, ""Prórroga 1: MES DE AGOSTO 1 al 31 Agosto ($148.000.000)",Subdirección de Contrataciones CSJN,Subdirección de Contrataciones
3020,2025-07-14,"Se presta conformidad a la continuidad del trámite, ""Prórroga 1: MES DE AGOSTO 1 al 31 Agosto ($148.000.000)",Subdirección de Contrataciones CSJN,Subdirección de Contrataciones
3020,2025-07-01,"Se presta conformidad a la continuidad del trámite, ""Prórroga 1: MES DE AGOSTO 1 al 31 Agosto ($148.000.000)",Subdirección de Contrataciones CSJN,Subdirección de Contrataciones
3020,2025-06-27,Ver justificación,En esta Dirección,En esta Dirección
5688,2025-11-03,Se giró con respuesta : Ratificación de esdificios conforme Reso 2491/2025,DIRECCIÓN DE ADMINISTRACIÓN,Dirección de Administración
5688,2025-10-28,Pendiente rta pase.,DIRECCIÓN DE ADMINISTRACIÓN,En esta Dirección
5688,2025-10-24,Tiene Reso 2491/2025 -,DIRECCIÓN DE ADMINISTRACIÓN,DIRECCIÓN DE ADMINISTRACIÓN
5688,2025-08-08,"Se elevó la nota con pedido de actualización, teniendo en cuenta tres coeficientes , Sup/estado/uso, sistema de módulos con un mínimo de 10 y máximo de 60, valor módulo $50.000.",DIRECCIÓN DE ADMINISTRACIÓN,DIRECCIÓN DE ADMINISTRACIÓN
5688,,Actualización - Proyecto,En esta Dirección,En esta Dirección
3685,2025-08-04,RESO 1684/2025 FERNANDEZ Y RIMBAU $330.600 mensual- vto septiembre/2024,Subdireccion de Contrataciones CSJN,SUBDIRECCIÓN DE CONTRATACIONES CSJN
3685,,"Toma conocimiento, presta conformidad ($330.600 mensual) vto septiembre/2024",Subdireccion de Contrataciones CSJN,SUBDIRECCIÓN DE CONTRATACIONES CSJN
3685,2025-07-04,Expediente en evaluación,En esta Dirección,En esta Dirección
3862,2025-07-07,"Se elevó - Fabian ""Floring"" $16.501.000",Subdireccion de Contrataciones CSJN,Subdirección de Infraestructura
3862,2025-07-07,Completando documental con Marcos Córdoba,Subdirección de Infraestructura,Subdirección de Infraestructura
3861,2025-07-07,RESOLUCIÓN 1622/2025 - Proparq SAS $25.000.000 (Trabajos de pintura),Subdirección de Infraestructura,DIRECCIÓN DE ADMINISTRACIÓN
3861,2025-07-07,Se elevó - Proparq SAS $25.000.000 (Trabajos de pintura),Subdirección de Infraestructura,SUBDIRECCIÓN DE CONTRATACIONES CSJN
3861,2025-07-07,Completando documental con Marcos Córdoba,Subdirección de Infraestructura,Subdirección de Infraestructura
3885,2025-08-26,"Reso 1890/2025 “ALTRON S.R.L.” renglón 1 –ítems 1, 2, 3, 4, 5, 6, 7, 8 y 9, ($9.475.894.-) de los cuales ($5.245.350) corresponden al ítem 1 por el servicio de mantenimiento preventivo y correctivo de las UPS por el término de doce (12) meses, a razón de pesos mensuales $437.112,50-",Subdirección de Contrataciones CSJN,SUBDIRECCIÓN DE CONTRATACIONES
3885,2025-08-08,"Se manifiesta que los oferentes resultan administrativa y técnicamente admisibles.Emelec SA y Altron SRL, prestan conformidad a la extensión del mantenimiento de oferta hasta el día 30/9 -",Subdirección de Contrataciones CSJN,SUBDIRECCIÓN DE CONTRATACIONES
3885,2025-07-15,Volvió el expediente con una consulta por documental/antecedes (EVALUAR VTO. DE OFERTAS/ MANTENIMIENTO/ Y PERIODO DE LA CONTRATACIÓN SIENDO QUE EL EXPTE. DE CONTINUIDAD TIENE RESOLUCIÓN),Subdirección de Contrataciones CSJN,EN ESTA DIRECCIÓN
3885,2025-07-07,Se elevó - Oferta Altron $9.475.894,Subdirección de Contrataciones CSJN,Subdirección de Contrataciones CSJN
3686,1970-01-01,Presta conformidad a la continuidad del servicio con TEKNIK- 2 MESES valor mensual $4.913.732. (Ago/sept 2025),Subdirección de Contrataciones CSJN,Subdirección de Contrataciones CSJN
