expte_code,anio,edificio,caratula,fecha_ingreso,ultima_gestion,se_giro_a,tipo_tramite,fecha,etiqueta,resolucion,dependencia_actual
1770,2025,PALACIO - TALCAHUANO 550,AUTORIZACION PARA USO DE CUÑO,2025-04-01,Se autoriza el uso del cuño medalla para la Dra. Soraya Hidalgo,En esta Dirección,,,FINALIZÓ PARA ESTE DIRECCIÓN,no,En esta Dirección
962,2025,PALACIO - TALCAHUANO 550,"Esc del expediente 5739/2024 . CSJN S/ actualizar el pliego de especificaciones técnicas, cómputo y análisis de precios y presupuesto de la obra: Restauración integral de las escaleras y cajas de escaleras denominadas 2, 8 y 10, refuerzo estructural y obras complementarias – Palacio de Justicia – Talcahuano 550 CABA",2025-04-07,Lo devolvieron a esta Dirección sin actuaciones -,En esta Dirección,,2025-04-14,PENDIENTE RESOLVER,no,En esta Dirección
2005,2025,OTROS EDIFICIOS,Traspaso del servicio de instalaciones fijas contra incendio a la Sub. de Seguridad CSJN,2025-04-08,Caratulado- (en Sub. de Seguridad),Dirección de Despacho,,2025-04-10,FINALIZÓ PARA ESTA DIRECCIÓN,no,SUBDIRECCIÓN DE SEGURIDAD
1217,2025,PALACIO - TALCAHUANO 550,Continuidad servicio de Limpieza Palacio Talcahuano 550 y Villarino,2025-04-09,"Se solicitó la continuidad del servicio con idéntico prestador por el término de 3 meses , desde Compras van a solicitar una nueva cotización",Subdirección de Contrataciones CSJN,,,FINALIZÓ PARA ESTE DIRECCIÓN,NO,Subdirección de Contrataciones CSJN
1645,2025,DaJuDeCO,ADQUISICION DE EQUIPAMIENTO PARA LACTARIO CON DESTINO A LA DIRECCION DE ASISTENCIA JUDICIAL EN DELITOS COMPLEJOS Y CRIMEN ORGANIZADO DEL PODER JUDICIAL DE LA NACIÓN,2025-04-09,Con Reso 561/2025. “ROYAL DOOR S.R.L.” los renglones 2 y 4 por la suma total $ 1.118.440 de y a la firma “GONZALEZ VIVIANA INES” los renglones 1 y 3 por la suma total de $ 920.800,Dirección de la Administración,,2025-04-24,FINALIZÓ PARA ESTE DIRECCIÓN,SI,Sbdirección de Contrataciones CSJN
2944,2023,MORGUE -JUNIN 760,SISTEMA DE HIDRANTES,2025-04-10,Se solicita la desafectación presupuestaria y se informa el traspaso a seguridad por expediente n° 2005/25,Dirección de la Administración,,,FINALIZÓ PARA ESTE DIRECCIÓN,NO,En esta Dirección
2019,2025,DaJuDeCO,SOLICITUD CONTRATACIÓN AUDITORÍA DE SEGUIMIENTO NRO 1,2025-04-21,Salió resolución 522/25,-,,2025-04-21,FINALIZÓ PARA ESTE DIRECCIÓN,522/25,-
1237,2025,PALACIO - TALCAHUANO 550,CONTINUIDAD DEL SERVICIO DE MANTENIMIENTO INTEGRAL PREVENTIVO Y CORRECTIVO DE LOS EQUIPOS DE AIRE ACONDICIONADO INSTALADO EN EL EDIFICIO SEDE DE LA MORGUE JUDICIAL SITO EN JUNIN 760/VIAMONTE 2151 DE LA CABA - OC N° 639/2024,2025-04-15,"Reso 595/2025 $7.800.000 ACLIMA ( 4 MESES :1/5/2025 al 31/8/2025) “ESCOFE, VICTOR DANIEL”-",Subdireccion de contrataciones CSJN,,2025-04-28,finalizó para esta Dirección,no,Subdirección de Contrataciones CSJN
2150,2025,OTROS EDIFICIOS,"Prorroga del servicio de Desratización desinsectación, desinfección y control de murciélagos en los diversos edificios dependientes de la CSJN",2025-04-15,Con resolución 682/2025 - 1 mes. (GRUPO BIO EFIA SRL) $ 1.353790-,Contrataciones,,2025-05-12,FINALIZÓ PARA ESTE DIRECCIÓN,SI,Subdirección de Compras
7040,2024,PALACIO - TALCAHUANO 550,"""REPARACION DEL SISTEMA DE APERTURA DEL PORTAL DE ACCESO Y PUERTA DE ESCAPE N°1, CALLE EN TALCAHUANO 550""",2025-04-30,"Resolución 607/2025 Declarar la rescisión total del contrato con “MENIW RICARDO” con una penalidad consistente en el veinte por ciento (20%) del valor de la prestación no cumplida, importe que asciende a la suma de pesos novecientos ochenta mil ($ 980.000) y aplicarle la sanción de suspensión para contratar con la Corte Suprema de Justicia de la Nación por el término de un año.",-,,2025-04-30,FINALIZÓ PARA ESTA DIRECCIÓN,607/25,-
5952,2025,PALACIO - TALCAHUANO 550,RENOVACION DEL SERVICIO DE LIMPIEZA INTEGRAL DEL EDIFICIO SITO EN LA CALLES TALCAHUANO 550 Y VILLARINO 2010 DE LA CIUDAD AUTONOMA DE BUENOS AIRES-ORDEN DE COMPRA N° 241 Y 242/2023,2025-04-16,Expediente Administrativo Archivado en última oficina -Mesa Administrativa CSJN- Deben caraturlar un expediente en papel. (aún no lo recibimos),2025-04-29 00:00:00,,2025-04-25,FINALIZÓ PARA ESTE DIRECCIÓN,NO,Subdirección de Compras
3218,2025,PALACIO - TALCAHUANO 550,"REPARACIÓN Y PUESTA EN VALOR DE PARARRAYOS DEL PALACIO DE JUSTICIA, SOBRE LA CALLE LAVALLE.",2025-04-21,"Con RESO 1798/2025 PROVESER S.R.L. $52.355.123,99.",SUBDIRECCIÓN DE CONTRATACIONES,,2025-08-14,FINALIZÓ PARA ESTA DIRECCIÓN,1798/2025,dirección de DESPACHO
1238,2025,CUERPO DE PERITOS - BARTOLOMÉ MITRE 718/20,Prorroga del servicio de mantenimiento de la instalación termomecánica,2025-04-23,Con resolución 598/2025 -1 MES ! ACLIMA de ESCOFE VICTOR DANIEL”en los mismos términos y condiciones técnicas y económicas oportunamente pactados en la misma- por la suma total de pesos un millón doscientos mil ($ 1.200.000.-),Dirección de Administración,,2025-04-28,FINALIZÓ PARA ESTE DIRECCIÓN,NO,Dirección de Gestión Interna e Infraestructura
2958,2025,PALACIO - TALCAHUANO 550,Arreglo Sillas Palacio,2025-04-24,control PET,Correo electrónico F.U,,,EN TRÁMITE PARA ESTA DIRECCIÓN,NO,Correo electrónico F.U
1940,2025,PALACIO - TALCAHUANO 550,Adquisición sillas operativas ergonómicas para dependencias de la CSJN por la suma de $ 86.684.850,2025-04-25,nota de elevación,Dirección de Administración,,,EN TRÁMITE PARA ESTA DIRECCIÓN,NO,Mesa de Entradas DGIeI
2328,2025,OTROS EDIFICIOS,CONTINUIDAD DEL SERVICIO DE MANTENIMIENTO INTEGRAL PREVENTIVO Y CORRECTIVO DE LOS ASCENSORES ELECTROMECANICOS INSTALADOS EN LOS EDIFICIOS SITO EN CALLE H YRIGOYEN 2041 Y EN LA CALLE JEAN JAURES 545 CABA Y LA PLATAFORMA HIDRAULICA INSTALADA EN EL EDICIFIO DE LA CALLE JEAN JAURES 545 CABA - N° OC 624/2024,2025-05-14,Resolución 736/2025. Contratación Directa por $3.285.000 firma ASC TELESI SRL,Subdirección de Compras,,2025-05-05,FINALIZÓ PARA ESTA DIRECCIÓN,7362025.0,Mesa de Entradas General
2339,2025,PALACIO - TALCAHUANO 550,RENOVACIÓN DEL SERVICIO DE LIMPIEZA INTEGRAL DEL EDIFICIO SITO EN LAS CALLES TALCAHUANO 550 Y VILLARINO 2010 DE LA CABA - OC N° 241 Y 242/2023 .,2025-08-04,Se rubricó el PET,SUBDIRECCIÓN DE CONTRATACIONES,,2025-11-14,FINALIZÓ PARA ESTA DIRECCIÓN,no,Compras
2427,2025,CUERPO DE PERITOS - BARTOLOMÉ MITRE 718/20,"CONTINUIDAD DEL SERVICIO DE MANTENIMIENTO INTEGRAL, PREVENTIVO Y CORRECTIVO CON ATENCION DIARIA DE LA INSTALACION TERMOMECANICA DEL EDIFICIO BARTOLOME MITRE 718 OC N° 119/2025",2025-05-20,Resolución 838/25 Adjudica a Aclima de Scofe Víctor por la suma de $ 4.800.000,-,,2025-05-20,FINALIZO PARA ESTA DIRECCIÓN,838/25,Dirección de Administración
2329,2025,OVD - LAVALLE 1250,"CONTINUIDAD DEL SERVICIO DE MANTENIMIENTO INTEGRAL, PREVENTIVO Y CORRECTIVO DE AIRE AOCNODICIONADO O.C. 697/24",2025-05-05,RESO 684/2025 continuidad por3 meses con Teknik por el monto de $ 1.510.000 mensual (de junio a agosto),Dirección de Administración,,2025-05-13,FINALIZÓ PARA ESTE DIRECCIÓN,684/2025,En esta Dirección
2314,2025,OVD - LAVALLE 1250,PRÓRROGA DEL SERVICIO DE SOPORTE TECNICO Y MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE LA UPS INSTALADA EN EL CENTRO DE DATOS DE LA DIRECCION DE SISTEMA DEL TRIBUNAL-OC N° 165/2023,2025-05-06,RESO 704/2025 Prórroga 2 meses -oc 165/2023 jun/jul ($198.198 ($99.099 por mes) ALTRON SRL,SUBDIRECCION DE COMPRAS DE LA CSJN,,2025-05-13,FINALIZÓ PARA ESTA DIRECCIÓN,no,En esta Dirección
4804,2018,VILLARINO 2010 - DEPÓSITO AUTOMOTORES/ ÁREA DE TALLERES/ARCHIVO GENERAL PJN,TRASLADO DE VEHICULOS Y Y DEL TALLER UBICADOS EN EL EDIFICIO DE LA CALLE VILLARINO 2010,2025-05-06,VER ES PAPEL - Modificar el PET a la normativa actual de Aco 38/2023.,En esta Dirección,,,PENDIENTE RESOLVER,no,En esta Dirección
2313,2025,PALACIO - TALCAHUANO 550,CONTINUIDAD ALQUILER GRUPO ELECTROGENO,2025-05-08,"RESO 705/2025 .“FERNANDEZ Y RIMBAU MARIA EUGENIA 1 MES A LA FIRMA $7.149.715""",Dirección de Administración,,2025-05-13,EN TRÁMITE PARA ESTA DIRECCIÓN,no,SUBDIRECCION DE COMPRAS DE LA CSJN
2164,2025,PALACIO - TALCAHUANO 550,PRÓRROGA DEL SERVICIO DE LIMPIEZA DE TALCACHUANO Y VILLARINO CABA- OC 241 y 242,2025-05-08,Aún no giró por esta dependencia (Laredo SRL 148.000.0000 -MENSUAL y total $296.000.000),No está en esta Dirección,,,PENDIENTE RESOLVER,no,No está en esta Dirección
3580,2011,FARMACIA DE LA O.S.P.J -TUCUMÁN 1393/99,MINISTERIO PÚBLICO -Procuracion General s/situación edilicia del edifcio calle Tucuman 1393,2025-05-08,Se eleva con escrito: sugiere rescindir el Convenio (vencido) con fecha 1/12 -,En esta Dirección,,2025-05-15,EN TRÁMITE PARA ESTA DIRECCIÓN,no,Mesa de entradas administrativa
3219,202,PALACIO - TALCAHUANO 550,"""Hall de acceso principal de la calle Tucumán del Palacio de Justicia""",2025-05-13,revisión P.E.T - Tiene carátula,Correo electrónico Arq Delfina,,2025-06-09,PENDIENTE RESOLVER,no,Correo electrónico Arq Delfina
5818,2024,PALACIO - TALCAHUANO 550,CONTRATACION DEL SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE LAS INSTALACIONES ELECTRICAS DEL PALACIO DE JUSTICIA DE LA NACION - TALCAHUANO 550,2025-05-14,Escrito Rubrica PET (Ing.eléctrico Natalio Villalba) Presta conformidad a cambio de cláusulas,Subdirección de Contrataciones,,2025-05-15,FINALIZÓ PARA ESTE DIRECCIÓN,no,Subdireccion de Contrataciones CSJN
2164,2025,PALACIO - TALCAHUANO 550,Prórroga del servicio de limpieza integral del edificio sito en calle Talcahuano 550,2025-05-15,"RESO 1048/2025 1 mes de prroroga del servicio HASTA 30/6 LAREDO $148.000.000 ""LAREDO Y ASOCIADOS S.R.L""",Subdirección de Compras,,2025-05-27,FINALIZÓ PARA ESTA DIRECCIÓN,SI,SUDIRECCIÓN DE COMPRAS
2259,2025,DaJuDeCO,Adquisición e instalación de repuesto y provisión de baterías para UPS,2025-05-15,Con resolución n°934/2025 $3.696.550 insumos para UPS DAJUDECO,Subdirección de Contrataciones,,2025-05-22,FINALIZÓ PARA ESTA DIRECCIÓN,934/2025,Subdirección de Contrataciones CSJN
2494,2025,DaJuDeCO,ADQUISICION DE INSUMOS DE FERRETERIA CON DESTINO A LA DIRECCION DE ASISTENCIA JUDICIAL EN DELITOS COMPLEJOS Y CRIMEN ORGANIZADO DEL PODER JUDICIAL DE LA NACION,2025-05-16,en revisión,En esta dirección,,,PENDIENTE RESOLVER,no,En esta Dirección
2724,2025,PALACIO - TALCAHUANO 550,ADQUISICION Y EJECUCIÓN DE INSTALACIÓN ELÉCTRICA Y LUMINARIAS PARA ARCHIVO UBICADO EN AVENIDA DE LOS INMIGRANTES 1950,2025-05-16,en revisión,Subdirección de Infraestructura,,2025-05-16,PENDIENTE RESOLVER,no,Subdirección de Infraestructura
2772,2025,PALACIO - TALCAHUANO 550,APAOLAZA DELFINA s/bonificación adicional por título,2025-05-19,Con RESO 1101/2025.,Dirección de la Administración.,,2025-06-02,FINALIZÓ PARA ESTA DIRECCIÓN,1101/2025,Dirección de la Administración.
2781,2025,OTROS EDIFICIOS,"CONTINUIDAD DEL SERVICIO DE DESRATIZACION, DESINSECTACION Y CONTROL DE MURCIELAGOS EN DIVERSOS EDIFICIOS DE LA CSJN - OC N° 138/2025",2025-05-19,Resolución 1346/2025 (3 meses JULIO/AGOSTO/SEPTIEMBRE) $1.353.790 mensual (total: $4.061.370) “GRUPO EFIA S.R.L.”,Subdirección de Contrataciones CSJN,,2025-06-25,FINALIZÓ PARA ESTA DIRECCIÓN,1346/2025,SUBDIRECCIÓN DE CONTRATACIONES CSJN
2862,2025,PALACIO - TALCAHUANO 550,Solicita Autorización cuño oficial Dra. Silvia Berger,2025-05-22,Se autoriza la utilización del cuño,Archivo interno,,2025-05-22,FINALIZÓ PARA ESTE DIRECCIÓN,no,Dpto. Jurírido Administrativo
5289,2018,DaJuDeCO,REFACCION INTEGRAL DEL EDIFICIO DE AVDA. DE LOS INCAS 3834,2025-06-12,En esta Dirección - Cuerpos 6 - 1/9/2025 (pendiente ver),En esta Dirección,,2025-09-01,PENDIENTE RESOLVER,no,En esta Dirección
2756,2025,MORGUE -JUNIN 760,BAJA DE CROMATÓGRAFO DE GASES MARCA DANI INSTRUMENTS (INVENTARIO 87928),2025-05-29,"Ver: ""Se inicia la presente con el fin de solicitar la baja de un Cromatógrafo de Gases marca DANI INSTRUMENTS """,En esta Dirección,,,PENDIENTE RESOLVER,No,En esta Dirección
3220,2025,PALACIO - TALCAHUANO 550,RETIRO Y ORDENAMIENTO DE INSTALACIONES EN DESUSO Y EN USO DE LOS ESPACIOS DE CIRCULACIÓN Y PATIOS INTERNOS DEL PALACIO DE JUSTICIA”,2025-06-04,Con RESOLUCIÓN 1736/2025 “JM SERVICIOS LOGISTICOS S.R.L. $ 43.228.000.,Subdirección de compras,,2025-08-12,FINALIZO PARA ESTA DIRECCIÓN,1736/2025,DIRECCIÓN DE ADMINISTRACIÓN
2423,2025,OTROS EDIFICIOS,TRANSFERENCIA DE INTENDENCIA INMUEBLE MARCELO T. DE ALVEAR N°1840,2025-05-30,Tiene resolución 1261/2025 transferencia de la Intendencia del edificio Marcelo T. de Alvear n° 1840 del Consejo a la Cámara Comercial.,Secretaria Juridica CSJN,,2025-06-19,FINALIZÓ PARA ESTE DIRECCIÓN,1261/2025,Mesa Administrativa CSJN
3221,2025,PALACIO - TALCAHUANO 550,"FABRICACIÓN E INSTALACIÓN DE REJAS ORNAMENTALES Y TRABAJOS COMPLEMENTARIOS, PALACIO DE JUSTICIA",2025-06-04,"Con RESOLUCIÓN 1727/2025 “PROVESER S.R.L.”, por la suma total de pesos $39.320.048,00.-",SUBDIRECCIÓN DE CONTRATACIONES,,2025-08-11,FINALIZÓ PARA ESTA DIRECCIÓN,1727/2025,DIRECCIÓN DE ADMINISTRACIÓN
3003,2025,DaJuDeCO,EXP 3003/2025 VOLQUETE DE 5 M3 DURANTE UN PLAZO DE 24 HS,2025-06-09,Toma conocimiento. Presta conformidad (130k partida especial),Dirección de Administración,,,FINALIZÓ PARA ESTE DIRECCIÓN,no,Subdirección de Infraestructura
2984,2025,CUERPO MÉDICO FORENSE/OFICINA DE LA MUJER - LAVALLE 1429,CONTINUIDAD DEL SERVICIO DE MANTENIMIENTO INTEGRAL PREVENTIVO Y CORRECTIVO DEL GRUPO ELECTROGENO DE EMERGENCIA INSTALADO EN EL EDIFICIO DEL CUERPO MEDICO FORENSE SITO EN LAVALLE 1429 Y DEL GRUPO ELECTROGENO DE EMERGENCIA INSTALADO EN EL EDIFICIO DE LA OVD SITO EN LAVALLE 1250 DE LA CABA - OC N° 287/2024,2025-06-09,"Tiene resolución 1348/2025 (2 meses) $130.400 mensual item 1.B.1 item 2.B1$130.400 (TOTAL:521.600)“BRUQUETAS, SEBASTIAN JAVIER”",Subdirección de Contrataciones,,2025-06-25,FINALIZÓ PARA ESTA DIRECCIÓN,1348/2025,SUBDIRECCIÓN DE CONTRATACIONES CSJN
5694,2024,PALACIO - TALCAHUANO 550,CARDOZO DANIEL SALVADOR S/INASISTENCIAS,2025-06-05,"Se remitió nota haciendo saber la situación actual de inasistencias injustificadas junto con la última retención de haberes, y la sugerencia de aplicar las sanciones correspondientes según la gravedad de los hechos - (Pendiente FOLIAR ÚLTIMA ACTUACIÓN DE RETENCIÓN DE HABERES)",RECURSOS HUMANOS,,2025-07-08,FINALIZÓ PARA ESTA DIRECCIÓN,NO,En esta Dirección
3222,2025,PALACIO - TALCAHUANO 550,APERTURA CON RECAMBIO DE VIDRIOS EN CLARABOYA UBICADA EN PATIO DE AIRE Y LUZ – SECTOR TALCAHUANO ESQUINA TUCUMAN – DEL PALACIO DE JUSTICIA Y TRABAJOS COMPLEMENTARIOS,2025-06-10,En proceso revisón P.E.T- Tiene carátula,En esta Dirección,,,EN TRÁMITE PARA ESTA DIRECCIÓN,NO,En esta Dirección
43272025,2025,PALACIO - TALCAHUANO 550,Artefactos de iluminación,2025-06-12,"Resolución 1737/2025: ""IGNACIO MARIO PETRESKY” Kol-or Iluminación: $20.710.242",Subdirección de Contrataciones,,2025-08-12,EN TRÁMITE PARA ESTA DIRECCIÓN,1737/2025,Dirección de Administración
2297,2025,PALACIO - TALCAHUANO 550,"Mantenimiento y readecuación locales sanitarios 3041,3042",2025-06-13,Se va a solicitar el Archivo del expediente- y reinciar con nuevas Especificaciones técnicas,En Infraestructura,,2025-06-25,FINALIZÓ PARA ESTA DIRECCIÓN,NO,Infraestructura
2716,2025,OTROS EDIFICIOS,"CONTINUIDAD DEL SERVICIO DE MANTENIMIENTO INTEGRAL, PREVENTIVO Y CORRECTIVO DE ASCENSORES, PLATAFORMA ELEVADORA Y MONTA EXPEDIENTES INSTALADOS EN DIVERSOS EDIFICIOS PERTENECIENTES A LA CORTE SUPREMA DE JUSTICIA DE LA NACIÓN - OC N° 221 Y 222/2024",2025-06-13,"Se presta conformidad a la propuesta de Integral (idem cotización 2.000.000 mensual) y Camaaño nueva cotización 3.560.000, por el termino de 3 meses.-",Subdirección de Contrataciones CSJN,,,FINALIZÓ PARA ESTE DIRECCIÓN,NO,En esta Dirección
3334,2025,OTROS EDIFICIOS,AMPLIACION DE LA ORDEN DE COMPRA N°14/2025 DEL EXPEDIENTE 2411/2024 PROVISIÓN E INSTALACIÓN DE ESTANTERÍAS METÁLICAS DESTINADAS AL ARCHIVO GENERAL DE LA CORTE SUPREMA DE JUSTICIA DE LA NACIÓN,2025-06-17,"Tiene Reso. 1411/2025 Ampliación 20% o.c 14/2025 “SISTEMAS DE CARGA S.A.” $33.262.800,00.",Subdirección de Contrataciones CSJN,,2025-07-01,FINALIZÓ PARA ESTE DIRECCIÓN,SI,Subdirección de Infraestructura
2966,2025,DaJuDeCO,ADQUISICIÓN DE ELEMENTOS DE PROTECCIÓN PERSONAL Y SEGURIDAD EN EL TRABAJO,2025-06-24,Con RESO 1444/2025 adquisión de Elementos Personales de Seguridad DAJUDECO ($7.446.298),Subdirección de Contrataciones CSJN,,2025-07-07,FINALIZÓ PARA ESTA DIRECCIÓN,si,SUBDIRECCIÓN DE CONTRATACIONES CSJN
3517,2025,PALACIO - TALCAHUANO 550,BONIF. TÍTULO GODOY PEREIRA CYNTHIA - CONTADORA,2025-06-18,Se elevó la solicitud con copia de título habilitante,Dirección de la Administración,,,FINALIZÓ PARA ESTE DIRECCIÓN,NO,Asuntos Jurídicos
2965,2025,DaJuDeCO,PROVISIÓN E INSTALACIÓN DE PASARELAS METÁLICAS,2025-06-24,"Toma conocimiento de la documental agregada y la manifestación de ""trabajos menores"". Presta conformidad a la continuidad.",Dirección de Administración,,2025-07-10,finalizó,NO,Subdirección de Infraestructura CSJN
1538,2020,OVD - LAVALLE 1250,PROVISIÓN E INSTALACIÓN DE MOSQUITEROS OVD,2025-06-24,Se va a tramitar vía electrónica- PET compartido con F.Ugarte para revisión,Correo electrónico con Flor Ugarte,,2025-06-25,EN TRÁMITE PARA ESTA DIRECCIÓN,NO,Correo electrónico con Flor Ugarte
3468,2024,OTROS EDIFICIOS,RESTABLECIMIENTO DE SERVICIOS NECESARIOS EN EL CENTRO DE ALOJAMIENTO DE MENORES EN TRANSITO CAMET,2025-06-27,Se respondió el oficio del 17/06/2025,Dirección de administración,,,FINALIZÓ PARA ESTE DIRECCIÓN,NO,Dirección de Administración
3609,2025,ROQUE SAENZ PEÑA,CONTINUIDAD DEL SERVICIO DE LIMPIEZA INTEGRAL DEL 7MO PISO DEL EDIFICIO SITO EN AV.PTE ROQUE SAENZ PEÑA 1190 DE ESTA CIUDAD - N° OC 51/2025,2025-06-27,RESOLUCIÓN 1753/2025 . Por el término de 4 MESES al Vto. OC 51/2025. DOMIN SERVICIOS GENERALES S.R.L. Valor mensual $ 1.365.625 y total de $5.462.500).,No está en esta Dirección,,2025-08-13,FINALIZO PARA ESTA DIRECCIÓN,1753/2025,Dirección de Administración
3610,2025,VIAMONTE 1197 CABA,CONTINUIDAD DEL SERVICIO DE LIMPIEZA INTEGRAL DEL EDIFICIO SITO EN CALLE VIAMONTE 1197 DE LA CABA - N° OC 52/2025,2025-06-27,"RESO 1729 Y 1752 /2025 PLM Group SRL: calle Viamonte N° 1197, por el término de 4 meses AL Vto OC n° 52/2025 , VALOR $ 5.528.020 mensual.",SUBDIRECCIÓN DE CONTRATACIONES,,2025-08-11,FINALIZÓ PARA ESTA DIRECCIÓN,NO,SUBDIRECCIÓN DE CONTRATACIONES
3611,2025,VIAMONTE 1197 CABA,CONTINUIDAD DEL SERVICIO DE LIMPIEZA INTEGRAL EN EL EDIFICIO SITO EN LA CALLE LAVALLE 1248/50 DE LA CABA SEDE DE LA OVD DE LA CSJN - N° OC 58/2025,2025-06-27,Se prestó conformidad a la continuidad del servicio $ 17.945.000 MENSUAL /DISTRIBONS / 4 meses hasta 31/12,Subdirección de Contrataciones CSJN,,2025-08-11,FINALIZÓ PARA ESTA DIRECCIÓN,NO,SUBDIRECCIÓN DE COMPRAS
3612,2025,ARCHIVO GENERAL - HIPÓLITO YRIGOYEN 2041/61,CONTINUIDAD DEL SERVICIO DE LIMPIEZA INTEGRAL DEL EDIFICIO SITO EN LA CALLE HIPOLITO YRIGOYEN 2041/61 DE LA CIUDAD AUTONOMA DE BUENOS AIRES - N° OC 60/2025,2025-07-10,RESOLUCION DA Nº 1848/2025 - $ 19.356.000 MENSUAL /DISTRIBONS / 4 meses hasta 31/12 TOTAL: 77.424.000.,Mesa de entradas,,2025-08-21,FINALIZÓ PARA ESTA DIRECCIÓN,1848/2025,SUBDIRECCIÓN DE CONTRATACIONES
3020,2025,PALACIO - TALCAHUANO 550,CONTINUIDAD DEL SERVICIO DE LIMPIEZA INTEGRAL DEL EDIFICIO SITO EN LAS CALLES TALCAHUANO 550 Y VILLARINO 2010 DE LA CIUDAD AUTONOMA DE BUENOS AIRES - ORDEN DE COMPRA N° 166/2025,2025-06-27,"RESO 1514/2025 Se presta conformidad a la continuidad del trámite, ""Prórroga 1: MES DE AGOSTO 1 al 31 Agosto ($148.000.000)",Subdirección de Contrataciones CSJN,,2025-07-14,FINALIZÓ PARA ESTA DIRECCIÓN,1514.0,Subdirección de Contrataciones
5688,2023,OTROS EDIFICIOS,EXP 5688/2023 ACTUALIZACION DE ASIGNACIONES CORRESPONDIENTES A INMUEBLES PERTENECIENTES A LA INTENDENCIA DE EDIFICIOS DE LA CSJN,2025-07-02,Se giró con respuesta : Ratificación de esdificios conforme Reso 2491/2025,DIRECCIÓN DE ADMINISTRACIÓN,,2025-11-03,FINALIZÓ PARA ESTA DIRECCIÓN,2491/2025,Dirección de Administración
3685,2025,MORGUE -JUNIN 760,CONTINUIDAD DEL SERVICIO DE MANTENIMIENTO DEL GRUPO ELECTRÓGENO,2025-07-04,RESO 1684/2025 FERNANDEZ Y RIMBAU $330.600 mensual- vto septiembre/2024,Subdireccion de Contrataciones CSJN,,2025-08-04,FINALIZÓ PARA DIRECCIÓN,1684/2025,SUBDIRECCIÓN DE CONTRATACIONES CSJN
3862,2025,PALACIO - TALCAHUANO 550,TRABAJOS DE PULIDO E HIDROLAQUEADO EN OFICINAS VARIAS,2025-07-07,"Se elevó - Fabian ""Floring"" $16.501.000",Subdireccion de Contrataciones CSJN,,2024-07-07,FINALIZÓ PARA ESTA DIRECCIÓN,NO,Subdirección de Infraestructura
3861,2025,PALACIO - TALCAHUANO 550,TRABAJOS DE PINTURA EN OFICINAS VARIAS DE LA CORTE SUPREMA DE JUSTICIA DE LA NACION,2025-07-07,RESOLUCIÓN 1622/2025 - Proparq SAS $25.000.000 (Trabajos de pintura),Subdirección de Infraestructura,,2025-07-07,FINALIZÓ PARA ESTA DIRECCIÓN,1622/2025,DIRECCIÓN DE ADMINISTRACIÓN
3885,2025,OTROS EDIFICIOS,CONTRATACION DEL SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE LAS UPS PERTENECIENTES A DISTINTAS DEPENDENCIAS DE LA CORTE SUPREMA DE JUSTICIA DE LA NACION,2025-07-07,"Reso 1890/2025 “ALTRON S.R.L.” renglón 1 –ítems 1, 2, 3, 4, 5, 6, 7, 8 y 9, ($9.475.894.-) de los cuales ($5.245.350) corresponden al ítem 1 por el servicio de mantenimiento preventivo y correctivo de las UPS por el término de doce (12) meses, a razón de pesos mensuales $437.112,50-",Subdirección de Contrataciones CSJN,,2025-08-26,FINALIZÓ PARA ESTA DIRECCIÓN,1890/2025,SUBDIRECCIÓN DE CONTRATACIONES
3686,2025,OTROS EDIFICIOS,"CONTINUIDAD DEL SERVICIO DE MANTENIMIENTO INTEGRAL,PREVENTIVO,CORRECTIVO Y CON ATENCION DIARIA DE LA INSTALACION TERMOMECANICA DEL EDIFICIO DE LA CALLE JEAN JAURES 545 DE LA CIUDAD AUTONOMA DE BUENOS AIRES - N° OC 15/2025",2025-07-10,RESO. 1660/2025 continuidad del servicio con TEKNIK- 2 MESES valor mensual $4.913.732. (Ago/sept 2025),Subdirección de Contrataciones CSJN,,2025-07-10,FINALIZÓ PARA ESTE DIRECCIÓN,NO,Subdirección de Contrataciones CSJN
4016,2025,OTROS EDIFICIOS,CONVENIO ENTRE LA MORGUE JUDICIAL Y LA UNIVERSIDAD DE BUENOS AIRES -UBA,2025-07-14,"RESO 2027/2025 -Aprobar el modelo de Acuerdo Administrativo que como anexo forma parte de la presente, entre el Tribunal y la Universidad de Buenos Aires y autorizar al Secretario General de Administración(...)",DIRECCION DE RELACIONES INSTITUCIONALES DE LA CSJN,,2025-09-05,FINALIZÓ PARA ESTE DIRECCIÓN,2027/2025,DIRECCION DE DESPACHO - DIRECTOR GENERAL - CPN JOSE C. ABRANCHI
2306,2025,PALACIO - TALCAHUANO 550,"MANTENIMIENTO Y READECUACIÓN DEL ENTREPISO Y LOS LOCALES SANITARIOS 2014, 2015, 3041 Y 3042 UBICADOS EN EL PALACIO DE JUSTICIA DE LA NACIÓN",2025-07-14,"Resolución n°1908/2025 - “RIAÑO ALEJANDRO OSVALDO”, por la suma total de pesos $ 169.930.000,00.",Subdirección de Contrataciones CSJN,,2025-08-28,FINALIZÓ PARA ESTA DIRECCIÓN,1908/2025,Dpto. de Liquidaciones
